wch_clients	wch_sentFrames	wch_sentBytes	ach_clients	ach_sentFrames	ach_sentBytes	ac_clients	ac_sentFrames	ac_sentBytes
2	26	2238	2	8	600	2	4	300
6	112	10928	6	24	1800	6	20	1500
10	263	28093	10	40	3000	10	36	2700
14	445	49819	14	56	4200	14	52	3900
18	600	74502	18	72	5400	18	68	5100
22	1008	127828	22	88	6600	22	84	6300
26	1459	212191	26	104	7800	26	100	7500
30	1918	320932	30	120	9000	30	116	8700
34	2424	455436	34	136	10200	34	132	9900
38	2989	614673	38	152	11400	38	148	11100
42	3738	789680	42	168	12600	42	164	12300
